u,v,key,betweenness
49722433,49781943,0,0.0
49722433,49771109,0,6.963046970466793e-06
49722433,49781952,0,0.0
49722447,49722454,0,0.0
49722454,49722447,0,3.4815234852333965e-06
49722454,655662483,0,5.607242253217331e-05
49722458,49722469,0,1.707935949755926e-05
49722458,49795559,0,7.032677440171461e-06
49722458,1233276142,0,8.862964072408447e-06
49722469,49722480,0,1.3647572062114915e-05
49722469,49722458,0,0.0
49722469,663508771,0,1.989441991561941e-08
49722480,49722494,0,1.042467603578457e-05
49722480,49722469,0,0.0
49722480,49783881,0,1.5915535932495527e-07
49722480,49783870,0,0.0
49722494,49815997,0,1.1936651949371646e-07
49722494,49816008,0,7.112255119833939e-06
49722494,49722480,0,0.0
49722499,49830119,0,4.177828182280076e-06
49722499,49740516,0,2.823018186026394e-05
49722499,49722505,0,8.952488962028735e-08
49722505,49740557,0,0.00035880581038815384
49722505,49785819,0,0.0003079954619236619
49722505,49722499,0,3.140334183680524e-05
49722667,49740284,0,3.2129488163725346e-06
49722667,1460668162,0,3.4815234852333965e-06
49722667,49730820,0,0.0
49722667,49744587,0,0.0
49722737,3378222907,0,0.0
49722743,49789520,0,4.874132879326756e-06
49722743,49820743,0,6.406997933825231e-05
49722743,49784218,0,1.7994502813677756e-05
49722744,49825561,0,2.5763273790727137e-06
49722744,642604582,0,0.0014479855119284852
49722745,13790270450,0,5.699751305824961e-06
49722745,49837442,0,5.0233410286939e-06
49722787,49775986,0,0.000277149163844494
49722787,2664170695,0,4.146991831410866e-05
49722787,2670838647,0,9.453828343902343e-05
49722787,49775993,0,7.216700824390941e-05
49722994,49782141,0,2.495754978414455e-05
49722994,633923743,0,0.0006537604800571272
49723005,49730008,0,0.0011569400957729312
49723005,3005851842,0,6.321451928188067e-05
49723017,5851387630,0,1.077282838430791e-05
49723017,5851387631,0,0.00013968866943752167
49723017,1440867117,0,6.73426114143717e-06
49723044,49723047,0,3.4815234852333965e-06
49723044,49773893,0,8.654072663294443e-07
49723044,49849024,0,1.6910256928276498e-07
49723047,49723044,0,0.0
49723081,9752208331,0,1.247380128709337e-05
49723081,49723087,0,1.884996287004939e-05
49723081,49743490,0,3.1831071864991054e-06
49723087,49723081,0,1.2692639906165182e-05
49723087,49743874,0,1.5646961263634666e-05
49723126,49864452,0,1.8302866322369857e-06
49723126,49830920,0,0.0
49723126,12132456223,0,3.4815234852333965e-06
49723133,49748256,0,1.2632956646418324e-06
49723133,13790555997,0,0.0014288470799696594
49723133,49841785,0,0.0011982210170978413
49723134,4018818990,0,5.725614051715266e-05
49723134,49777167,0,1.5129706345828561e-05
49723134,4643541070,0,0.00013465538119886996
49723161,4018818990,0,4.6751886801705614e-07
49723161,13699194719,0,6.29459446130198e-05
49723161,49810451,0,3.4815234852333965e-06
49723217,49734728,0,0.0004231642588151826
49723217,646031092,0,0.0005642654320667133
49723252,49758841,0,0.00024512909499030454
49723261,49723264,0,2.6658522686930007e-06
49723261,49812443,0,3.4815234852333965e-06
49723264,49723261,0,1.6313424330807915e-06
49723264,49812353,0,6.88744817478744e-05
49723264,49745405,0,3.177138860524419e-05
49723264,49804256,0,2.6658522686930007e-06
49723267,49837292,0,3.6257580296216375e-05
49723267,49723269,0,9.287709937606921e-05
49723267,49759427,0,0.0
49723269,8496737174,0,6.38610879291383e-06
49723269,49833602,0,0.00038133624094259283
49723269,49723267,0,3.9699314941618534e-05
49723276,49887337,0,0.0
49723280,49723285,0,2.9841629873429114e-06
49723280,49757401,0,1.2374329187515272e-05
49723280,1363937841,0,8.467065116087621e-05
49723285,49730798,0,5.073077078482949e-07
49723285,49730798,1,0.0
49723285,49723280,0,0.0
49723302,49804203,0,2.437066439663378e-06
49723302,49767010,0,5.354583120288964e-05
49723309,49734716,0,0.000330416473168565
49723309,49774362,0,4.814449619579897e-06
49723309,49742545,0,0.00018855931196024077
49723309,13809741702,0,2.5862745890305234e-07
49723322,49723324,0,4.605558210465893e-06
49723322,3798943072,0,0.0
49723322,3372443372,0,0.0
49723324,49723322,0,1.850181052152605e-06
49723324,49823063,0,3.441734645402158e-06
49723324,11255208745,0,0.0
49723335,49739513,0,0.0
49723335,49716066,0,0.0
49723348,49723358,0,0.0
49723348,49716224,0,0.0
49723348,49854704,0,0.0
49723358,49716224,0,0.0
49723358,49723348,0,0.0
49723358,49860421,0,6.266742273420114e-07
49723359,49723365,0,0.0
49723359,49723365,1,0.0
49723359,49767547,0,0.0
49723365,49847101,0,0.0
49723365,49723359,0,1.7407617426166983e-06
49723365,49723359,1,0.0
49723366,2765102971,0,1.0305309516290855e-05
49723366,49745413,0,1.1339819351903064e-06
49723366,49843164,0,0.0005223876781443344
49723515,49773979,0,3.5809955848114937e-06
49723515,49800627,0,4.715972240997581e-05
49723515,49888946,0,4.528964693790758e-05
49723516,49723515,0,2.994110197300721e-06
49723516,49800642,0,0.001113759257346079
49723516,49800627,0,0.0009290992516892998
49723519,49745699,0,3.302473705992822e-06
49723519,49749203,0,8.877884887345162e-05
49723519,49780862,0,2.1386501409290867e-06
49723519,49745923,0,5.55551676143672e-05
49723528,49723529,0,9.250905260763025e-06
49723528,49752183,0,2.7255355284398592e-06
49723528,49752115,0,3.481523485233397e-07
49723529,49723528,0,0.0
49723529,49739683,0,3.5412067449802547e-06
49723529,49831447,0,3.4815234852333965e-06
49723532,8455846779,0,0.0
49723532,49830723,0,0.0
49723532,49807568,0,2.088914091140038e-05
49723539,2099955610,0,0.0004458637919389044
49723539,10182976583,0,0.00010215784626670567
49723544,49734583,0,9.10169711139588e-06
49723544,49715999,0,3.640678844558352e-06
49723544,49734577,0,1.1439291451481161e-06
49723544,49745374,0,5.39138779713286e-06
49723592,49790344,0,5.4520657778754994e-05
49723592,49715999,0,9.151433161184929e-07
49723592,49716007,0,4.868164553352069e-05
49723598,13256237938,0,0.00018760437980429103
