osmid,lon,lat,geoid,pop_density_km2
49761393,-77.05529,38.93351359999998,11001001304,5698.4
49761399,-77.0553455,38.92589490000002,11001000502,5930.0
49761401,-77.0553276,38.9267977,11001000502,5930.0
49761406,-77.0553344,38.92833909999998,11001000502,5930.0
49761407,-76.94524,38.88492099999997,11001007703,7008.9
49761412,-76.945199,38.883764,11001007703,7008.9
49761416,-76.927604,38.88865200000001,11001009905,7374.0
49761419,-76.9278061,38.887711599999996,11001009905,7374.0
49761421,-76.927952,38.887041000000025,11001009905,7374.0
49761425,-76.928105,38.88635799999998,11001009905,7374.0
49761426,-76.9282534,38.8856853,11001009905,7374.0
49761428,-76.928403,38.88500799999999,11001009905,7374.0
49761430,-76.928548,38.884334,11001009905,7374.0
49761434,-76.928696,38.883656,11001009905,7374.0
49761439,-76.92899,38.882304,11001009905,7374.0
49761441,-76.92914,38.881627999999985,11001009905,7374.0
49761447,-76.929886,38.87945099999999,11001007707,5155.6
49761449,-76.93001,38.878543,11001007707,5155.6
49761501,-77.0803961,38.94436559999999,11001001002,3763.3
49761506,-77.080039,38.944784500000004,11001001002,3763.3
49761531,-77.093308,38.9326054,11001000903,3449.3
49761570,-77.0905536,38.933497399999986,11001000804,1291.7
49761574,-77.08864200000001,38.934930699999995,11001000804,1291.7
