u,v,key,aadt
49745465,49745461,0,9828.0
49745465,49745468,0,9828.0
49745468,49734621,0,9828.0
49745468,49791878,0,2912.0
49745468,49791888,0,2912.0
49745566,49843193,0,1429.0
49745571,49843195,0,258.0
49745628,49764251,0,7294.0
49745628,49799643,0,7294.0
49745628,3027832454,0,29858.0
49745629,49745628,0,29858.0
49745631,876615335,0,6876.0
49745632,49745631,0,21913.0
49745632,49745636,0,21913.0
49745632,3027616047,0,6889.0
49745636,49745632,0,21913.0
49745636,1381307999,0,10932.0
49745640,641116183,0,18978.0
49745640,4697534335,0,17918.0
49745644,49813365,0,15438.0
49745644,3027663729,0,17918.0
49745650,49745651,0,9828.0
49745652,49745651,0,9828.0
49745652,49745658,0,9828.0
49745667,49745669,0,9828.0
49745667,13256237938,0,8782.0
49745669,49745673,0,9828.0
49745676,49745673,0,9828.0
49745676,49745677,0,9828.0
49745680,49745677,0,9828.0
49745680,49745682,0,9828.0
49745682,13256237912,0,9828.0
49745689,49734615,0,9828.0
49745689,49745691,0,9828.0
49745691,49745693,0,9828.0
49745701,49749220,0,5769.0
49745709,49785838,0,5335.0
49745709,49785850,0,5335.0
49745717,49847560,0,3670.0
49745717,2000698377,0,3670.0
49745746,49836758,0,2518.0
49745780,49737130,0,5094.0
49745780,1929135345,0,5094.0
49745838,49764782,0,7593.0
49745838,49806412,0,7593.0
49745841,1475724283,0,10553.0
49745915,49842742,0,3610.0
49745915,49859100,0,3610.0
49745918,49718816,0,9247.0
49745918,49749265,0,9247.0
49745923,49723519,0,9240.0
49745923,5581929187,0,9240.0
